Signature;Function (click for code);Unit;Description
IE_effect;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;--;Infiltration excess importance
SE_effect;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;--;Saturation excess importance
IE_thresh_signif;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;--;Infiltration excess threshold significance (in a plot of quickflow volume vs. maximum intensity)
IE_thresh;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;mm/timestep;Infiltration excess threshold location (in a plot of quickflow volume vs. maximum intensity)
SE_thresh_signif;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;--;Saturation excess threshold significance (in a plot of quickflow volume vs. total precipitation)
SE_thresh;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;mm;Saturation excess threshold location (in a plot of quickflow volume vs. total precipitation)
SE_slope;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;mm/mm;Saturation excess threshold above-threshold slope (in a plot of quickflow volume vs. total precipitation)
Storage_thresh_signif;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;--;Storage/saturation excess threshold significance (in a plot of quickflow volume vs. antecedent precipitation index + total precipitation)
Storage_thresh;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;mm;Storage/saturation excess threshold location (in a plot of quickflow volume vs. antecedent precipitation index + total precipitation)
min_Qf_perc;`sig_EventGraphThresholds.m <./_static/matlab/TOSSH_code/TOSSH/TOSSH_code/signature_functions/sig_EventGraphThresholds.html>`_ ;%;Minimum quickflow as a percentage of precipitation
