Signature;Function (click for code);Unit;Description
BaseflowMagnitude;`sig_BaseflowMagnitude.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_BaseflowMagnitude.m>`_ ;mm;Difference between maximum and minimum of annual baseflow regime
ResponseTime;`sig_ResponseTime.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_ResponseTime.m>`_ ;timestep;Catchment response time
FlashinessIndex;`sig_FlashinessIndex.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_FlashinessIndex.m>`_ ;--;Richards-Baker flashiness idex
PQ_Curve :sup:`a` ;`sig_PQ_Curve.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_PQ_Curve.m>`_ ;--;Slopes and breakpoints in cumulative P-Q regime curve
Q_n_day_max;`sig_Q_n_day_max.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_Q_n_day_max.m>`_ ;mm/timestep;n-day maximum streamflow
Q_skew;`sig_Q_skew.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_Q_skew.m>`_ ;mm :sup:`3`/ timestep :sup:`3` ;Skewness of streamflow
Q_var;`sig_Q_var.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_Q_var.m>`_ ;mm :sup:`2`/ timestep :sup:`2` ;Variance of streamflow
RecessionK_part;`sig_RecessionParts.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_RecessionParts.m>`_ ;1/timestep;Recession constant of early/late (exponential) recessions
SeasonalTranslation :sup:`a` ;`sig_SeasonalTranslation.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_SeasonalTranslation.m>`_ ;--;Amplitude ratio and phase shift between seasonal forcing and flow cycles
SnowStorage;`sig_SnowStorage.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_codesignature_functions/sig_SnowStorage.m>`_ ;mm;Snow storage derived from cumulative P-Q regime curve
