t,Q,P,PET,T
01-Jan-1999,0.9,0.51,0.21,7.22
02-Jan-1999,0.88,2.81,0.67,6.62
03-Jan-1999,0.91,9.67,0.3,4.6
04-Jan-1999,1.24,0.45,0.92,9.84
05-Jan-1999,1.13,0,0.65,11.1
06-Jan-1999,1.08,6.05,0.83,9.65
07-Jan-1999,1.18,3.29,0.11,5.08
08-Jan-1999,1.19,0.58,0.24,4.01
09-Jan-1999,1.06,0.44,0.04,2.08
10-Jan-1999,0.99,0.81,0,1.35
11-Jan-1999,0.94,0.16,0.01,0.61
12-Jan-1999,1.05,9.36,0.09,0.43
13-Jan-1999,1.18,1.62,0.34,3.27
14-Jan-1999,1.2,0.06,0.81,5.53
15-Jan-1999,1.13,7.87,0.8,8.34
16-Jan-1999,1.34,0.04,0.4,6.08
17-Jan-1999,1.2,0,0.41,4.27
18-Jan-1999,1.09,0.51,0.34,5.3
19-Jan-1999,1.05,2.15,0.37,10.75
20-Jan-1999,1.01,0.32,0.41,10.39
21-Jan-1999,0.97,0,0,4.93
22-Jan-1999,0.94,0.07,0,0.52
23-Jan-1999,0.95,0.49,0.08,3.46
24-Jan-1999,0.94,0.58,0.21,6.32
25-Jan-1999,0.94,2.38,0.98,9.43
26-Jan-1999,0.95,4.35,0.5,4.56
27-Jan-1999,0.97,6.57,0.35,3.85
28-Jan-1999,1.18,0.06,0.5,6.71
29-Jan-1999,1.07,0.08,0.24,3.6
30-Jan-1999,0.99,0.56,0.17,3.24
31-Jan-1999,0.95,0.03,0.07,4.22
01-Feb-1999,0.91,0.02,0.18,6.98
02-Feb-1999,0.87,0,0.27,5.3
03-Feb-1999,0.85,0,0.51,7.84
04-Feb-1999,0.84,0.44,1.41,10.02
05-Feb-1999,0.81,1.54,1.71,6.78
06-Feb-1999,0.81,1.32,0.68,5.52
07-Feb-1999,0.79,0,0.88,1.3
08-Feb-1999,0.78,1.42,0.35,-0.07
09-Feb-1999,0.76,0.66,0.55,-0.45
10-Feb-1999,0.74,1.36,0.63,0.38
11-Feb-1999,0.73,0.16,0.24,0.48
12-Feb-1999,0.72,0,0.24,2.86
13-Feb-1999,0.71,0,0.5,2.07
14-Feb-1999,0.71,2.08,0.38,2.32
15-Feb-1999,0.72,0.63,0.4,4.7
16-Feb-1999,0.71,0,1.51,6.11
17-Feb-1999,0.7,6.3,0.92,4.25
18-Feb-1999,0.74,1.64,0.51,7.94
19-Feb-1999,0.77,0,0.83,9.92
20-Feb-1999,0.75,3.04,1,5.85
21-Feb-1999,0.76,0.68,1.07,5.99
22-Feb-1999,0.73,0,1.62,3.73
23-Feb-1999,0.69,0.52,1.19,3.1
24-Feb-1999,0.68,0,0.47,2.4
25-Feb-1999,0.66,0.09,0.56,4.37
26-Feb-1999,0.68,5.31,0.68,8.74
27-Feb-1999,0.69,0.01,0.93,7.04
28-Feb-1999,0.68,2.85,1.32,7.26
01-Mar-1999,0.7,10.96,0.72,10.32
02-Mar-1999,1.03,2.72,0.69,10.81
03-Mar-1999,1.01,3.29,1.46,7.42
04-Mar-1999,0.92,0.65,0.65,4.75
05-Mar-1999,0.85,2.49,0.36,3.37
06-Mar-1999,0.81,6.79,0.35,2.79
07-Mar-1999,1.11,6.4,0.33,3.61
08-Mar-1999,1.27,3.53,0.44,4.11
09-Mar-1999,1.22,17.74,0.41,3.67
10-Mar-1999,2.46,0.08,0.67,3.19
11-Mar-1999,1.63,0.74,0.64,3.37
12-Mar-1999,1.33,2.08,0.6,8.24
13-Mar-1999,1.2,0.01,1.06,9.44
14-Mar-1999,1.1,0.18,1.24,7.4
15-Mar-1999,1.05,0,1.01,8.07
16-Mar-1999,1.01,0,1.07,8.55
17-Mar-1999,0.98,0,1.2,10.35
18-Mar-1999,0.95,0.01,1.55,8.65
19-Mar-1999,0.91,0,1.26,6.48
20-Mar-1999,0.9,4.89,1.15,6.82
21-Mar-1999,0.97,6.37,1.12,6.96
22-Mar-1999,0.95,0.5,1.57,6.14
23-Mar-1999,0.89,0,1.71,10.85
